	TCGA.3Z.A93Z	TCGA.6D.AA2E	TCGA.A3.3358	TCGA.A3.3387	TCGA.A3.A6NI	TCGA.A3.A6NJ	TCGA.A3.A6NL	TCGA.A3.A6NN	TCGA.A3.A8CQ	TCGA.A3.A8OU	TCGA.A3.A8OV	TCGA.A3.A8OW	TCGA.A3.A8OX	TCGA.AK.3440	TCGA.AK.3458	TCGA.B0.4698	TCGA.B0.4700	TCGA.B0.4706	TCGA.B0.4710	TCGA.B0.4712	TCGA.B0.4810	TCGA.B0.4811	TCGA.B0.4815	TCGA.B0.4816	TCGA.B0.4818	TCGA.B0.4821	TCGA.B0.4852	TCGA.B0.5080	TCGA.B0.5399	TCGA.B0.5400	TCGA.B0.5402	TCGA.B0.5690	TCGA.B0.5691	TCGA.B0.5692	TCGA.B0.5693	TCGA.B0.5694	TCGA.B0.5695	TCGA.B0.5696	TCGA.B0.5697	TCGA.B0.5698	TCGA.B0.5699	TCGA.B0.5700	TCGA.B0.5701	TCGA.B0.5702	TCGA.B0.5703	TCGA.B0.5705	TCGA.B0.5706	TCGA.B0.5707	TCGA.B0.5709	TCGA.B0.5710	TCGA.B0.5711	TCGA.B0.5712	TCGA.B0.5713	TCGA.B0.5812	TCGA.B2.3924	TCGA.B2.5633	TCGA.B2.5635	TCGA.B2.5636	TCGA.B2.5639	TCGA.B2.5641	TCGA.B2.A4SR	TCGA.B4.5377	TCGA.B4.5378	TCGA.B4.5832	TCGA.B4.5834	TCGA.B4.5835	TCGA.B4.5836	TCGA.B4.5838	TCGA.B4.5843	TCGA.B4.5844	TCGA.B8.4146	TCGA.B8.4153	TCGA.B8.4621	TCGA.B8.4622	TCGA.B8.5545	TCGA.B8.5546	TCGA.B8.5549	TCGA.B8.5550	TCGA.B8.5551	TCGA.B8.5552	TCGA.B8.5553	TCGA.B8.A54D	TCGA.B8.A54E	TCGA.B8.A54F	TCGA.B8.A54G	TCGA.B8.A54H	TCGA.B8.A54I	TCGA.B8.A54J	TCGA.B8.A54K	TCGA.B8.A7U6	TCGA.B8.A8YJ	TCGA.BP.4770	TCGA.CJ.5671	TCGA.CJ.5672	TCGA.CJ.5675	TCGA.CJ.5676	TCGA.CJ.5677	TCGA.CJ.5678	TCGA.CJ.5679	TCGA.CJ.5680	TCGA.CJ.5681	TCGA.CJ.5682	TCGA.CJ.5683	TCGA.CJ.5684	TCGA.CJ.5686	TCGA.CJ.5689	TCGA.CJ.6027	TCGA.CJ.6028	TCGA.CJ.6030	TCGA.CJ.6031	TCGA.CJ.6032	TCGA.CJ.6033	TCGA.CW.5580	TCGA.CW.5581	TCGA.CW.5583	TCGA.CW.5584	TCGA.CW.5585	TCGA.CW.5587	TCGA.CW.5588	TCGA.CW.5589	TCGA.CW.5590	TCGA.CW.5591	TCGA.CW.6087	TCGA.CW.6088	TCGA.CW.6090	TCGA.CW.6093	TCGA.CW.6097	TCGA.CZ.4863	TCGA.CZ.4864	TCGA.CZ.4865	TCGA.CZ.4866	TCGA.CZ.5451	TCGA.CZ.5452	TCGA.CZ.5453	TCGA.CZ.5454	TCGA.CZ.5455	TCGA.CZ.5456	TCGA.CZ.5457	TCGA.CZ.5458	TCGA.CZ.5459	TCGA.CZ.5460	TCGA.CZ.5461	TCGA.CZ.5462	TCGA.CZ.5463	TCGA.CZ.5464	TCGA.CZ.5465	TCGA.CZ.5466	TCGA.CZ.5467	TCGA.CZ.5468	TCGA.CZ.5469	TCGA.CZ.5470	TCGA.CZ.5982	TCGA.CZ.5984	TCGA.CZ.5985	TCGA.CZ.5986	TCGA.CZ.5987	TCGA.CZ.5988	TCGA.CZ.5989	TCGA.DV.5565	TCGA.DV.5566	TCGA.DV.5567	TCGA.DV.5568	TCGA.DV.5569	TCGA.DV.5573	TCGA.DV.5574	TCGA.DV.5575	TCGA.DV.5576	TCGA.DV.A4VX	TCGA.DV.A4VZ	TCGA.DV.A4W0	TCGA.EU.5904	TCGA.EU.5905	TCGA.EU.5906	TCGA.EU.5907	TCGA.G6.A5PC	TCGA.G6.A8L6	TCGA.G6.A8L7	TCGA.G6.A8L8	TCGA.GK.A6C7	TCGA.MM.A563	TCGA.MM.A564	TCGA.MM.A84U	TCGA.MW.A4EC	TCGA.T7.A92I
hsa-let-7a-1	0.17324452	0.944433338	-1.565285194	-0.78429627	-0.438405984	-0.498578558	0.430589501	0.21497843	1.776907136	0.953451467	0.306052313	2.6459036	1.424892294	0.03315754	-0.836165174	0.026432358	-1.657665694	1.014526974	0.34381438	0.228066366	1.273327225	0.010996733	-2.664017234	0.956789457	1.103704862	0.433260632	0.69183437	1.238852036	1.034898139	0.399794197	1.205556803	-1.914289273	-0.732809655	-0.932792303	-0.36663448	-1.157504671	1.105374929	-1.264985892	-1.863357875	1.595772727	-1.448777239	-1.09880982	0.18583164	-2.302638542	-1.68338098	-1.553353868	-0.794889519	0.727660623	-2.117413186	0.77557963	-0.073112037	-0.155740758	0.702242718	0.223385528	0.213708612	-0.180398951	0.496696888	-1.356151205	-0.511695887	-2.24504527	0.170497659	1.695408024	0.799220469	-0.146044199	1.40778912	-0.032246028	1.218247402	-0.340316464	0.644252825	0.595393464	1.395020111	1.003723824	-0.466792547	0.235739716	1.378115766	0.650703135	-0.125589749	-0.651809264	-1.14758021	0.017793524	-0.658472699	-0.642013507	-1.875655108	-0.947706642	-0.699318763	-0.198832074	-1.401331715	-0.298368164	-0.869993343	1.351204747	0.620749886	2.034319597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-2	0.161119075	0.951552471	-1.575935467	-0.789978636	-0.435525002	-0.532330967	0.425492497	0.208194281	1.774303395	0.949549451	0.298634114	2.638457519	1.40928581	0.031178319	-0.852211879	0.115093478	-1.644228968	0.988526767	0.355918225	0.243102359	1.276274665	0.028128038	-2.680530913	0.964484339	1.090543488	0.432898209	0.717481845	1.227656141	1.036341218	0.374785301	1.19161686	-1.896384258	-0.748719327	-0.963181366	-0.368666366	-1.119454292	1.100205288	-1.219477791	-1.854204257	1.609299755	-1.437634422	-1.099539722	0.161471849	-2.391835338	-1.757284935	-1.536133156	-0.791288752	0.674307908	-2.159855763	0.789528753	-0.047750835	-0.147565282	0.699532497	0.21539104	0.196406106	-0.18921415	0.485062553	-1.343533569	-0.454443568	-2.239850159	0.13143864	1.680777943	0.791033253	-0.141365544	1.386552208	-0.036367843	1.214545903	-0.338698389	0.638368371	0.562668541	1.401607367	0.998718758	-0.45677965	0.241585493	1.376235823	0.664305124	-0.106139616	-0.646458961	-1.155644337	0.000968175	-0.656200978	-0.665182413	-1.896438707	-0.95810404	-0.710462431	-0.221541597	-1.392554338	-0.299188615	-0.879944844	1.35484747	0.637168458	2.040328565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3	0.18799695	0.943500237	-1.553486355	-0.800632949	-0.462572383	-0.522686092	0.434297589	0.19785742	1.793933625	0.976544165	0.313551207	2.653973617	1.434073693	0.032038726	-0.818670489	0.014996123	-1.615074247	0.979656872	0.345131015	0.21563147	1.285476138	0.038150181	-2.590392282	0.946220752	1.088626696	0.437435843	0.705143763	1.252442143	1.041988128	0.385008495	1.224397861	-1.897029288	-0.763541598	-0.95740923	-0.37680654	-1.153637346	1.117530604	-1.272762424	-1.843263998	1.62435735	-1.430509542	-1.046702877	0.135579965	-2.398308768	-1.75890154	-1.559547392	-0.78466162	0.691295992	-2.090925895	0.769003154	-0.036154189	-0.160340293	0.675240189	0.21927056	0.211861651	-0.169979857	0.496790632	-1.351946971	-0.45255193	-2.220610213	0.139905623	1.707570676	0.774703812	-0.160262565	1.394484786	-0.030957867	1.212184551	-0.311559465	0.627423906	0.584546993	1.435694714	0.998839512	-0.502887798	0.24726828	1.345567885	0.656022812	-0.108107696	-0.663668127	-1.144149919	0.008396459	-0.627700012	-0.63179512	-1.919976818	-1.003695278	-0.702826485	-0.205235956	-1.39706317	-0.30891774	-0.884591564	1.367904246	0.593626051	2.051120666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b	0.986220263	-0.988221234	-1.134081057	-2.524645766	0.77480212	0.961150357	0.539948348	1.103559265	1.118030821	0.669584083	0.779596692	1.725943269	1.692788814	1.195929312	0.408886032	-1.095265619	-1.669986298	0.582559507	-0.388189138	-0.272787444	1.243631376	-0.678037361	-1.120403773	-0.103636333	0.150011669	0.59735335	-0.426179143	1.07676558	0.562970431	0.383559062	-0.689615732	-1.304451421	0.14515987	0.879675587	0.742706736	0.106221229	0.745111831	-0.913279982	-1.079014019	1.350875296	-0.938318186	0.608129306	-0.902736898	0.160462124	-1.526814253	-1.163799076	0.028098934	-0.529619367	-0.801578855	0.369223828	-0.68817348	-0.488501872	0.375698192	1.017509495	0.94486514	2.064954392	0.903653203	-0.6509168	0.818376173	-1.111055151	0.589687211	1.411199405	-0.120946067	0.468067989	1.129662265	-0.970527292	0.695697077	0.904225635	0.388956118	0.60582754	0.632212194	0.70052667	-3.039943609	-0.345010985	1.450719123	-1.183786547	-1.461959749	0.867782382	0.987086824	-0.009197019	1.179504295	-0.731491016	-3.843203817	0.690276913	-0.220340566	-0.044125293	-0.551499727	0.267102614	-0.024784343	1.524595557	1.747369614	2.423271762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c	1.312416571	0.647835994	-0.606975396	-1.274246157	0.544978736	0.361360192	-0.033941387	-0.050742783	0.431081558	0.72256522	0.83065761	2.236033167	1.780685312	-1.994948662	0.451522104	-2.808478396	-0.808493708	-0.292351982	-0.651871705	0.024449871	-0.491241465	-0.352003856	-1.710056368	0.188346238	0.580389634	-0.948894018	-0.366299613	-1.363551943	1.4673678	-1.336961733	0.700514056	0.011414873	0.796828392	-0.131664018	-1.081881814	0.030209896	-0.567117826	-0.042305473	-0.312793131	-0.691672609	-0.376358969	-0.121726789	0.689584409	-0.756090115	-0.507159721	-0.206506694	1.478543743	1.421700472	-0.708797414	-0.386848152	0.231905652	1.152218988	1.084121584	0.378082125	0.468322445	2.254256954	1.271521904	-0.187642937	1.784699347	-0.478795421	-1.405000371	1.489993688	-1.097966145	-1.493907227	0.763203953	-0.251793182	-0.572783962	0.097918827	-0.465004986	-0.530619344	-3.180842541	0.876395859	-1.905784113	0.960524624	0.217380445	1.103744497	-0.154496385	0.024775108	-1.184328103	0.426002333	-0.195657675	-0.064962926	1.052056953	-0.006813223	-2.369004198	-1.190025051	-1.802757029	0.164060906	-1.100843848	0.733762356	-0.591345442	1.946104765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7d	0.392585326	0.228544279	-1.315010048	-2.076902574	-0.623285149	-0.452311122	-0.609183635	-0.872630906	0.080997539	0.249864351	0.77706524	0.211485657	-0.312292623	-1.685967458	1.005882267	0.764380165	-0.633788695	1.080389426	-0.275105198	0.063304322	0.254194173	-0.871560523	0.245620724	-0.59851994	-0.613804581	-0.711459309	0.579949539	0.519326244	0.349571423	0.021472167	0.189626517	0.213879046	1.661934627	1.201929596	1.112617762	1.785987576	1.791553677	0.947463191	0.104758051	0.164348999	0.49471016	0.65620111	-0.986334241	1.344046286	-0.790527445	0.255751187	0.306528444	-0.532561663	0.300841323	-0.252066383	-0.741187296	-0.42455918	0.065806362	-0.919283911	-0.478983348	0.546968638	-0.536596525	1.210341477	2.84602908	1.053696417	-0.779609175	1.284029806	-0.958084751	-1.029866654	-0.837793	-0.296821005	-0.121535819	-0.602278939	1.425514731	0.388333652	1.879322901	0.295753827	1.094334172	-1.064291721	-0.960205891	0.940788494	-1.30332774	0.879432888	0.726892315	-1.178771242	1.87820855	-0.009088973	0.737096602	-1.491658436	-1.352728302	-0.857630401	-2.106168467	-0.703421221	-1.67470897	-0.409382085	1.24434683	2.324739103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e	-0.273713875	1.323942099	-1.959771083	-0.811758895	-1.346036995	-1.343248129	0.372870717	-0.466539329	1.029775642	0.853030322	-0.540891121	2.092273159	0.815579497	-1.324359439	-2.447149075	-2.464040316	-0.394420291	0.005405068	0.278333861	0.649394743	0.276382062	-0.471604863	-2.472619928	-0.800826529	-0.253461022	0.356534003	0.143953963	0.968117596	0.205051262	0.024446231	0.789688049	0.159049151	0.217946974	-1.915181553	-0.68633505	-0.482100735	0.465383006	0.518946234	-0.357066023	0.523864114	-0.083604575	-1.506661061	0.63701007	-2.018291435	-0.907189735	0.742253687	0.768921533	0.044048746	-0.205283217	0.629635287	0.453052487	0.123599679	0.32093995	0.211949069	-1.655986774	0.180641687	-0.267062803	-0.060261726	-1.110008541	0.166433603	-0.244513315	0.238835796	0.40069853	0.798868743	1.009685141	0.010526046	1.039577193	-0.480271622	0.518455054	0.703245909	0.646768118	0.260520136	0.186011428	0.241852609	0.669563399	0.08613758	0.801690745	-1.306276011	-2.525663154	0.575390803	-1.695303593	-2.087171061	1.217308956	-1.656765623	-3.270976165	-0.051206457	-2.633145137	-0.532888262	-0.976558973	0.795985687	-0.447270011	1.370445632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-1	-0.363561137	-0.150520472	-1.964564743	0.478305619	-0.719656157	-0.400454819	-0.348365615	-1.022571241	0.570657871	0.193072338	0.278951571	1.079563641	-0.170086195	-2.028034233	-0.700372614	-0.184680737	-0.145876094	0.828004098	0.478049202	0.175616838	1.006684022	-0.02548648	-1.862032853	0.415115889	0.927700733	0.055208247	0.501347197	0.882946512	1.053988025	0.07371705	0.8412078	-2.36738166	-1.334009915	-1.379914223	-0.835698035	-1.652518059	0.620300201	-2.129487138	-1.426040048	2.136302802	-2.184349725	-0.604403921	0.706551159	-1.513507095	-0.003372049	-2.01119114	-2.181387549	0.910146072	-2.44116512	1.153606097	0.502063577	0.518752265	0.940763703	0.363746813	0.272287929	-0.819218567	-0.200494915	-1.993613193	-0.265823905	-2.099541084	0.540596011	1.192191254	1.282977156	0.85479083	1.452946001	1.434827405	1.469944893	0.338274931	1.447954707	1.391555828	1.888865244	1.395425383	-0.178312892	0.783639291	0.997485544	0.356433774	0.600894499	-0.766732999	-0.806122699	0.228751683	-0.645548682	0.552150077	-0.538879689	-0.151600518	0.128361734	-0.706448599	-1.567323176	-1.487268542	-1.413206636	-0.045998648	-0.60349849	0.526800851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2	-0.374784396	1.035198817	-1.167825641	0.479534395	-0.863782166	-1.279993593	-0.148307721	-0.673679746	0.996025235	0.367411705	-0.230969842	1.288000698	0.117880546	-0.349445365	-1.121858293	-0.938962816	-0.310939592	0.82020443	0.627555953	0.560337527	1.054039018	0.339585734	-2.08751058	1.039928081	1.007422107	0.520657723	0.975208079	1.020235198	1.092584587	0.505846322	1.143986784	-2.008979596	-1.289467836	-1.290541657	-0.69406834	-1.75357643	0.885528383	-1.344296298	-1.905139848	1.402452204	-1.497946932	-1.100524575	0.478357886	-1.754699241	-0.154276532	-2.230937695	-1.87988772	1.049507393	-2.305535955	0.800846752	0.397103701	0.12207708	0.761297415	-0.044790111	-0.411475112	-1.264159984	-0.402788169	-1.753326404	-0.923091666	-2.148396443	-0.216137138	1.280443712	0.915977789	0.424987313	1.013345919	1.491813214	1.088386897	-0.080408618	0.989568987	0.78349651	1.509727321	0.717973899	0.713096566	0.806973554	0.905906794	1.030507024	0.628122479	-1.187589237	-1.335700563	0.464661057	-1.239038873	-0.622355139	-0.326334605	-1.09710182	-0.339406796	-0.478157382	-1.214420081	-0.794989953	-1.164937018	0.416658925	-0.524838417	1.36224812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g	-0.818884675	0.419248181	-1.213051461	0.32423116	-2.116705585	-2.152356317	-2.201825616	-2.281507655	-0.679739922	-0.980547586	-1.550836378	0.07839882	-0.23355992	-0.903138609	-1.070765614	0.281463596	0.248452854	0.25191683	-0.341428103	0.693867908	0.169538219	0.4003567	-0.365522615	0.00661508	0.432230784	0.218964948	0.281043157	0.832628336	0.4367342	0.802544114	1.287734118	0.067043308	-0.026919694	-0.618887083	-1.180759911	0.597406825	-0.079557476	1.090296511	0.272583351	0.769819757	0.095939769	-1.116217937	0.85703304	-0.944643284	0.963223458	0.3813087	0.522656802	1.72942376	0.402435361	0.628924906	0.950879911	0.801683918	0.485354305	-0.6736571	-1.49023881	-1.606980846	-0.929530952	0.912724648	-0.120222152	1.389419509	-1.172873878	0.163516213	-0.043630679	0.543786488	0.376970393	1.642930082	0.686099291	-0.434482898	0.27279862	0.370128873	1.329408997	0.346213811	1.846966773	1.10281951	1.423578211	0.830632009	0.867924896	-1.069609652	-0.059985468	0.256604483	-0.930800486	-0.667262343	0.210627338	-2.384286602	-1.037317275	-2.030509273	-1.976674688	-2.336196734	-2.684778004	-1.012403815	-0.668231422	0.868593298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
